Date,Time,Open,High,Low,Close,Tick volume
2025.01.06,12:45:00,1.03163,1.0317,1.03148,1.03151,186
2025.01.06,13:00:00,1.03151,1.03156,1.03134,1.03142,305
2025.01.06,13:15:00,1.03141,1.03175,1.03123,1.03162,323
2025.01.06,13:30:00,1.03161,1.03181,1.03125,1.03125,346
2025.01.06,13:45:00,1.03124,1.03145,1.03084,1.03088,509
2025.01.06,14:00:00,1.03087,1.03123,1.03078,1.03115,535
2025.01.06,14:15:00,1.03115,1.03117,1.03076,1.03089,390
2025.01.06,14:30:00,1.0309,1.03155,1.0309,1.03155,366
2025.01.06,14:45:00,1.03156,1.03165,1.03108,1.03125,545
2025.01.06,15:00:00,1.03127,1.03159,1.03099,1.03141,720
2025.01.06,15:15:00,1.03141,1.03198,1.0312,1.03191,697
2025.01.06,15:30:00,1.03192,1.0327,1.03183,1.03226,898
2025.01.06,15:45:00,1.03225,1.03284,1.03214,1.03272,809
2025.01.06,16:00:00,1.03274,1.03372,1.03267,1.0337,1463
2025.01.06,16:15:00,1.03371,1.03421,1.03331,1.03402,1504
2025.01.06,16:30:00,1.03403,1.03435,1.0335,1.0335,1436
2025.01.06,16:45:00,1.03349,1.03525,1.03326,1.035,1609
2025.01.06,17:00:00,1.03499,1.03688,1.03401,1.03569,3472
2025.01.06,17:15:00,1.0357,1.03669,1.03546,1.03582,1643
2025.01.06,17:30:00,1.03583,1.03592,1.03497,1.03519,1370
2025.01.06,17:45:00,1.03519,1.03561,1.03507,1.03554,1207
2025.01.06,18:00:00,1.03556,1.0358,1.03453,1.03454,1161
2025.01.06,18:15:00,1.03453,1.0349,1.03423,1.03451,853
2025.01.06,18:30:00,1.0345,1.03487,1.0342,1.03421,745
2025.01.06,18:45:00,1.03425,1.03438,1.0335,1.0335,859
2025.01.06,19:00:00,1.03349,1.03888,1.03287,1.03785,3252
2025.01.06,19:15:00,1.03784,1.04167,1.03779,1.04134,5144
2025.01.06,19:30:00,1.04136,1.04325,1.04129,1.04174,4301
2025.01.06,19:45:00,1.04173,1.04221,1.04084,1.04217,2579
2025.01.06,20:00:00,1.04218,1.04305,1.04103,1.04107,2229
2025.01.06,20:15:00,1.04105,1.04179,1.03983,1.03991,2180
2025.01.06,20:30:00,1.03991,1.04071,1.0392,1.04046,2005
2025.01.06,20:45:00,1.04045,1.04132,1.03961,1.04108,2097
2025.01.06,21:00:00,1.04112,1.04258,1.04108,1.04234,2598
2025.01.06,21:15:00,1.04235,1.04367,1.04201,1.04355,2396
2025.01.06,21:30:00,1.04356,1.04358,1.04098,1.04101,2680
2025.01.06,21:45:00,1.041,1.04183,1.04043,1.04167,2510
2025.01.06,22:00:00,1.04168,1.04237,1.04098,1.04102,2666
2025.01.06,22:15:00,1.04102,1.0411,1.03527,1.03813,6241
